['soc-academia.edges', 50, 'uniform', 4.784808397293091, 'DONE']
['soc-academia.edges', 50, 'degree', 4.3993566036224365, 'DONE']
['soc-academia.edges', 50, 'degree_log', 4.456580400466919, 'DONE']
['soc-BlogCatalog.mtx', 50, 'uniform', 7.995554447174072, 'DONE']
['soc-BlogCatalog.mtx', 50, 'degree', 11.192993640899658, 'DONE']
['soc-BlogCatalog.mtx', 50, 'degree_log', 8.353633403778076, 'DONE']
['soc-LiveMocha.mtx', 50, 'uniform', 10.356723546981812, 'DONE']
['soc-LiveMocha.mtx', 50, 'degree', 9.558014631271362, 'DONE']
['soc-LiveMocha.mtx', 50, 'degree_log', 9.54861307144165, 'DONE']
['web-Google.mtx', 50, 'uniform', 13.176669359207153, 'DONE']
['web-Google.mtx', 50, 'degree', 11.397773742675781, 'DONE']
['web-Google.mtx', 50, 'degree_log', 11.271682024002075, 'DONE']
['soc-flickr.mtx', 50, 'uniform', 22.71532106399536, 'DONE']
['soc-flickr.mtx', 50, 'degree', 20.87389588356018, 'DONE']
['soc-flickr.mtx', 50, 'degree_log', 18.798718214035034, 'DONE']
['soc-delicious.mtx', 50, 'uniform', 34.5167121887207, 'DONE']
['soc-delicious.mtx', 50, 'degree', 27.95193338394165, 'DONE']
['soc-delicious.mtx', 50, 'degree_log', 24.709784984588623, 'DONE']
['com-Youtube.mtx', 50, 'uniform', 80.51631116867065, 'DONE']
['com-Youtube.mtx', 50, 'degree', 51.863768339157104, 'DONE']
['com-Youtube.mtx', 50, 'degree_log', 60.731184005737305, 'DONE']
['soc-pokec.edges', 50, 'uniform', 103.54304790496826, 'DONE']
['soc-pokec.edges', 50, 'degree', 86.42324423789978, 'DONE']
['soc-pokec.edges', 50, 'degree_log', 81.05619978904724, 'DONE']
