N:10880
M:79988
Fixing indices with minimum=1
Unique M:79988
Generating order...
---------------------------
No vertices is 10880
No edges is 79988
---------------------------
Min deg: 0
Max deg: 103
Avg deg: 7.35184
---------------------------
# deg 0: 4
# deg 1: 2467
# deg 2: 1439
# deg 3: 804
---------------------------
# deg>=32: 95
# deg>=64: 6
# deg>=128: 0
# deg>=256: 0
# deg>=512: 0
# deg>=1024: 0
---------------------------

Running with 32 threads 
largest component graph obtained with 10876 vertices 79988 edges -- 79988
starting degree computation
Deg-cent is computed in 3.14489e-05 seconds
Ordering based on degree...
Constructed BP Labels in 0.0115712 seconds
Preprocessing: 0.0153939 seconds
Memory Allocations: 0.270299 seconds
Total Initial Memory: 6189 MB
Init. Data Structures: 0.000514612 seconds
Level 0: 2.46204e-05 seconds
Level 1: 0.0107587 seconds
u=6540, cache_time=20673, prune_time=364833, alloc_time=1024302, write_time=67874 
u=7328, cache_time=5858, prune_time=57484, alloc_time=824, write_time=430 
u=7033, cache_time=13304, prune_time=353646, alloc_time=256514, write_time=67456 
u=8302, cache_time=3171, prune_time=48395, alloc_time=260373, write_time=13167 
u=6307, cache_time=13682, prune_time=87297, alloc_time=208179, write_time=14655 
u=6411, cache_time=3260, prune_time=181153, alloc_time=31818, write_time=29966 
u=7902, cache_time=11658, prune_time=142232, alloc_time=5610, write_time=1546 
u=8306, cache_time=10337, prune_time=14288, alloc_time=864, write_time=285 
u=6342, cache_time=15510, prune_time=81812, alloc_time=724285, write_time=13986 
u=7597, cache_time=2835, prune_time=279809, alloc_time=179470, write_time=43286 
u=6637, cache_time=3358, prune_time=58590, alloc_time=338108, write_time=5933 
u=9076, cache_time=6527, prune_time=391544, alloc_time=162081, write_time=89261 
u=6624, cache_time=3223, prune_time=26130, alloc_time=255315, write_time=6077 
u=7267, cache_time=4363, prune_time=190106, alloc_time=165424, write_time=24628 
u=6134, cache_time=18683, prune_time=221816, alloc_time=34204, write_time=71946 
u=6562, cache_time=6406, prune_time=358197, alloc_time=463126, write_time=111345 
u=7742, cache_time=4204, prune_time=488117, alloc_time=221539, write_time=49344 
u=8794, cache_time=6052, prune_time=84125, alloc_time=103662, write_time=23888 
u=7244, cache_time=17368, prune_time=268266, alloc_time=111612, write_time=60085 
u=6799, cache_time=24932, prune_time=77130, alloc_time=596559, write_time=12868 
u=8616, cache_time=3596, prune_time=480184, alloc_time=16848, write_time=85008 
u=5849, cache_time=13801, prune_time=71975, alloc_time=193847, write_time=22688 
u=7817, cache_time=7180, prune_time=419150, alloc_time=542622, write_time=62248 
u=6263, cache_time=3393, prune_time=169405, alloc_time=502578, write_time=23681 
u=6207, cache_time=3915, prune_time=255695, alloc_time=9497, write_time=69733 
u=6985, cache_time=3227, prune_time=104313, alloc_time=394240, write_time=13890 
u=7156, cache_time=13686, prune_time=63948, alloc_time=839, write_time=2531 
u=6350, cache_time=16013, prune_time=118122, alloc_time=722256, write_time=7844 
u=7906, cache_time=12128, prune_time=62705, alloc_time=417891, write_time=15754 
u=6659, cache_time=3767, prune_time=37602, alloc_time=201560, write_time=7183 
u=6730, cache_time=10391, prune_time=3999, alloc_time=2413, write_time=2325 
u=7918, cache_time=9059, prune_time=405918, alloc_time=80755, write_time=60235 
u=6273, cache_time=4322, prune_time=12167, alloc_time=145637, write_time=6109 
u=7729, cache_time=8786, prune_time=106168, alloc_time=3349, write_time=433 
u=7609, cache_time=3226, prune_time=131033, alloc_time=191491, write_time=9493 
u=7600, cache_time=3341, prune_time=57250, alloc_time=330322, write_time=21756 
u=7808, cache_time=7093, prune_time=107326, alloc_time=670, write_time=328 
u=5840, cache_time=26057, prune_time=323955, alloc_time=71174, write_time=59697 
u=6727, cache_time=3304, prune_time=229172, alloc_time=287386, write_time=59499 
u=7601, cache_time=2104, prune_time=428336, alloc_time=89467, write_time=215536 
u=6152, cache_time=3270, prune_time=29901, alloc_time=249145, write_time=3925 
u=7206, cache_time=7863, prune_time=252262, alloc_time=671, write_time=313 
u=7197, cache_time=6169, prune_time=166964, alloc_time=1228339, write_time=63043 
u=9432, cache_time=5781, prune_time=276438, alloc_time=89372, write_time=88376 
u=7250, cache_time=9565, prune_time=81714, alloc_time=3136, write_time=3796 
u=5971, cache_time=5464, prune_time=62720, alloc_time=114703, write_time=35898 
u=7051, cache_time=6805, prune_time=31662, alloc_time=1328859, write_time=35739 
u=6874, cache_time=3424, prune_time=91806, alloc_time=106581, write_time=26715 
u=9114, cache_time=11571, prune_time=426543, alloc_time=69775, write_time=223409 
u=7271, cache_time=8684, prune_time=40026, alloc_time=91565, write_time=12972 
u=6038, cache_time=12346, prune_time=256638, alloc_time=1162406, write_time=98976 
u=8400, cache_time=23234, prune_time=1363, alloc_time=23551, write_time=21979 
u=7648, cache_time=9678, prune_time=221264, alloc_time=45206, write_time=22365 
u=7142, cache_time=7251, prune_time=46869, alloc_time=148661, write_time=48903 
u=6478, cache_time=9460, prune_time=43390, alloc_time=143853, write_time=62344 
u=5539, cache_time=12545, prune_time=332145, alloc_time=310295, write_time=112938 
u=8952, cache_time=10462, prune_time=510950, alloc_time=93906, write_time=144244 
u=7943, cache_time=2965, prune_time=271822, alloc_time=87006, write_time=90241 
u=7283, cache_time=21560, prune_time=478356, alloc_time=165405, write_time=64076 
u=6234, cache_time=4883, prune_time=446170, alloc_time=66532, write_time=218691 
u=6503, cache_time=7407, prune_time=53544, alloc_time=84294, write_time=17793 
u=8843, cache_time=3184, prune_time=755690, alloc_time=736, write_time=336 
u=7901, cache_time=3365, prune_time=28179, alloc_time=37236, write_time=2812 
u=6528, cache_time=10970, prune_time=71490, alloc_time=498116, write_time=287415 
